name,phone,address,rating,review_count,business_type,hours
Lee's Auto Clinic,3126630823,727 South Jefferson Street,4.4,193.0,Auto repair shop,Open
River North Hand Car Wash,3123359669,356 West Superior Street,4.2,229.0,Car wash,Open
Gold Coast Auto Body,3127870333,900 W Division St,4.8,744.0,Auto body shop,Open
Crash Champions Collision Repair Division,3122919449,870 W Division St,4.6,728.0,Auto body shop,Open
Erie-LaSalle Body Shop and Car Care Centers,3123373903,1005 W Huron St,4.9,805.0,Auto body shop,Open
M&R Auto Body Chicago,7732947080,2602 W Chicago Ave,4.9,119.0,Auto body shop,Open
National Body Works,7735693289,3550 N Milwaukee Ave,4.9,92.0,Auto body shop,Open
Western Body Shop inc,7732359735,2426 N Western Ave,4.6,113.0,Auto body shop,Open
"B&L Automotive Repairs, Inc.",7734631622,3830 N Kedzie Ave,4.9,1499.0,Auto body shop,Open
River North Collision Repair,3124036000,356 W Superior St,4.9,221.0,Auto body shop,Open
Leo's Body Shop,7737645555,5971 N Ridge Ave,4.7,148.0,Auto body shop,Open
Royal Automotive LLC,7734671150,5675 N Elston Ave,4.8,297.0,Auto body shop,Open
Armitage Auto Repair and Body Shop,7736665700,2036 W Armitage Ave,4.4,202.0,Auto repair shop,Open
Bucktown Auto Body,3129350600,2321 N Wolcott Ave,4.6,371.0,Auto body shop,Open
Crash Champions Collision Repair South Loop,3122250222,2232 S Wabash Ave,4.4,544.0,Auto body shop,Open
Wreck & Roll Auto Body SOUTH Inc.,7737762600,5436 S Ashland Ave,4.7,527.0,Auto body shop,Open
The Body Shop,7737842650,5820 N Western Ave,4.2,109.0,Auto body shop,Open
Crash Champions Collision Repair Lincoln Park,3122551555,1630 N Kingsbury St,4.4,269.0,Auto body shop,Open
Rojas Auto Rebuilders Corp,7737220434,3347 W Chicago Ave,4.8,84.0,Auto body shop,Open
Fix Auto Chicago,7733426363,4700 W Fullerton Ave,4.8,785.0,Auto body shop,Open
Crash Champions Collision Repair Rockwell,7732672626,4030 N Rockwell St,4.6,366.0,Auto body shop,Open
Eagle Collision,7737721208,3909 W Grand Ave,4.8,77.0,Auto body shop,Open
Tom & Jerry's Auto Body,7737756767,5644 N Northwest Hwy,4.9,127.0,Auto body shop,Open
Richard's Body Shop,7735883301,3030 W Lawrence Ave,4.4,646.0,Auto body shop,Open
Tony's Auto Collision Center Inc,3122256500,2701 S Halsted St,4.7,114.0,Auto body shop,Open
Chicago GL Auto Body Repair,7735239630,2441 W 47th St,5.0,104.0,Auto repair shop,Open
Erie-Lasalle Body Shop on Kedzie,7737625571,2440 S Kedzie Ave,4.7,237.0,Auto body shop,Open
Paul Ries & Sons,3126376740,2233 W Grand Ave,4.6,154.0,Auto body shop,Open
"Tiger's Body Shop, Inc",7739352131,3604 N Lincoln Ave,4.6,81.0,Auto body shop,Open
Roman Auto Body & Repair Inc,7733957906,4339 W Diversey Ave,4.8,144.0,Auto body shop,Open
Abe's Auto Body Shop Inc,7739257252,7313 S Western Ave,4.8,64.0,Auto body shop,Open
Jordan Auto Body,7733958888,3689 W Grand Ave,4.7,154.0,Auto body shop,Open
Wreck & Roll Auto Body,7735089900,6652 N Western Ave,4.7,129.0,Auto body shop,Open
Diamante Auto Body Repair Shop,9132787919,1615 Minnesota Ave,5.0,158.0,Auto body shop,Open
Express Auto Service Inc.,7732052262,5374 N Elston Ave,4.7,153.0,Auto body shop,Open
JC Auto Body Repair INC,7735231611,4624 S Marshfield Ave,4.9,79.0,Auto body shop,Open
Preferred Auto Body,7737783160,6915 S Ashland Ave,4.4,268.0,Auto body shop,Open
Perillo Collision Center,3122917342,681 N Green St,4.6,171.0,Auto body shop,Open
Crash Champions Collision Repair Milwaukee Ave,7737778900,3545 N Milwaukee Ave,4.5,355.0,Auto body shop,Open
Avondale Collision and Repair,7736471053,3501 N Milwaukee Ave,4.8,255.0,Auto body shop,Open
Gerber Collision & Glass,3124910482,1060 W Huron St,4.4,158.0,Auto body shop,Open
Fasttrak Auto Center,7732526363,3263 W Fullerton Ave,4.7,108.0,Auto body shop,Open
Howard Auto Body & Repair Inc,7732623550,2255 W Howard St,4.7,306.0,Auto body shop,Open
Dale's Auto Body KC,9133716654,1310 State Ave,4.9,22.0,Auto body shop,Open
