"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","doJOZc","W4Efsd 7","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1"
"","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Lee%27s+Auto+Clinic/data=!4m7!3m6!1s0x880e2cebc938ee8b:0x210cdea968eb4725!8m2!3d41.87257!4d-87.642067!16s%2Fg%2F1wfvn72l!19sChIJi-44yessDogRJUfraKneDCE?authuser=0&hl=en&rclk=1","Lee's Auto Clinic","4.4","(193)","Auto repair shop","·","727 South Jefferson Street","Open","· Closes 5 PM","·","(312) 663-0823","https://www.google.com/aclk?sa=L&ai=DChsSEwi6wMKl3JqSAxXkBocDHXTOLFoYACICCAEQAhoCamY&co=1&ase=2&gclid=CjwKCAiA7LzLBhAgEiwAjMWzCFD6WoQt2_wxIWl8O1lu6AMdg_i_cpbno8Q31nbRcp90j0r9SYDboxoC8KAQAvD_BwE&cid=CAASZuRoz5a9A6TbeqlcjLDqZ4QH9Vs1_IF0waaT-PIOiPeMYDPzkDbbCt6Rim0BL_VGz4GogTZI1uVyXOn_vWVXJVYRrJSzMrsZEE67rWpo0A3XU6o3jIOxmwczv4R7k7LvPaQWYL9kEg&cce=2&category=acrcp_v1_32&sig=AOD64_1yQuNgkZZfFksx73ar5ZAMbHMQHQ&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","","",""
"https://www.google.com/maps/place/River+North+Hand+Car+Wash/data=!4m7!3m6!1s0x880fd34aadbfa2ff:0x258ba1233a797e3c!8m2!3d41.895694!4d-87.637883!16s%2Fg%2F1tzlzkjn!19sChIJ_6K_rUrTD4gRPH55OiOhiyU?authuser=0&hl=en&rclk=1","River North Hand Car Wash","4.2","(229)","Car wash","·","356 West Superior Street","Open","· Closes 6 PM","·","(312) 335-9669","https://www.google.com/aclk?sa=L&ai=DChsSEwi6wMKl3JqSAxXkBocDHXTOLFoYACICCAEQBxoCamY&co=1&ase=2&gclid=CjwKCAiA7LzLBhAgEiwAjMWzCBvBCJTJ_4DEDN9DqixD66N16zaeE1PvubuRKhs72Zd-kZz_egTp_BoCrZUQAvD_BwE&cid=CAASZuRoz5a9A6TbeqlcjLDqZ4QH9Vs1_IF0waaT-PIOiPeMYDPzkDbbCt6Rim0BL_VGz4GogTZI1uVyXOn_vWVXJVYRrJSzMrsZEE67rWpo0A3XU6o3jIOxmwczv4R7k7LvPaQWYL9kEg&cce=2&category=acrcp_v1_32&sig=AOD64_27OzHVunj6i9C0pEn5nREsl528ZQ&adurl&q&ctype=99&nis=6","","Website","","Directions","","","","","","",""
"https://www.google.com/maps/place/Gold+Coast+Auto+Body/data=!4m7!3m6!1s0x880fd32f1ab74dcd:0x3764c58fe184fae8!8m2!3d41.903694!4d-87.651498!16s%2Fg%2F1td7nx_y!19sChIJzU23Gi_TD4gR6PqE4Y_FZDc?authuser=0&hl=en&rclk=1","Gold Coast Auto Body","4.8","(744)","Auto body shop","·","·","900 W Division St","Open","· Closes 5 PM","(312) 787-0333","http://goldcoastautobody.com/","","Website","","Directions","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They did an excellent job doing custom","","",""
"https://www.google.com/maps/place/Crash+Champions+Collision+Repair+Division/data=!4m7!3m6!1s0x880e2cd81d0b45fd:0x81a00009f1678950!8m2!3d41.904136!4d-87.6510317!16s%2Fg%2F1tjpr29v!19sChIJ_UULHdgsDogRUIln8QkAoIE?authuser=0&hl=en&rclk=1","Crash Champions Collision Repair Division","4.6","(728)","Auto body shop","·","·","870 W Division St","Open","· Closes 5 PM","(312) 291-9449","https://crashchampions.com/locations/crash-champions-division","","Website","","Directions","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Outstanding repairs (","","",""
"https://www.google.com/maps/place/Erie-LaSalle+Body+Shop+and+Car+Care+Centers/data=!4m7!3m6!1s0x880e2cb35dd32c07:0x9a1b99ccb4dc7381!8m2!3d41.894068!4d-87.6528673!16s%2Fg%2F113jtfv5p!19sChIJByzTXbMsDogRgXPctMyZG5o?authuser=0&hl=en&rclk=1","Erie-LaSalle Body Shop and Car Care Centers","4.9","(805)","Auto body shop","·","·","1005 W Huron St","Open","· Closes 6 PM","(312) 337-3903","http://www.erielasalle.com/","","Website","","Directions","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They were so easy to work with and made my car look brand new.""","https://www.carwise.com/auto-body-shops/book-appointment/erie-lasalle-body-shop-and-car-care-center-chicago-il-60642/464621?hl=en-US&gei=2cVvad4GgtKnzg_h3NDICQ&rwg_token=AFd1xnGTGXkfhdFxapTDsJ8Z9IR-LTHV6VyjMRmjt0ZMIHmfoqgKV7dQBz3TlWNSHTr_AvgMZXUhEGPmg0O5kl6-zYZuDrL0fQ%3D%3D","Book online",""
"https://www.google.com/maps/place/M%26R+Auto+Body+Chicago/data=!4m7!3m6!1s0x880e2d80af47da15:0x991c740043b326b2!8m2!3d41.8959594!4d-87.6920631!16s%2Fg%2F11l5v6vp0h!19sChIJFdpHr4AtDogRsiazQwB0HJk?authuser=0&hl=en&rclk=1","M&R Auto Body Chicago","4.9","(119)","Auto body shop","·","·","2602 W Chicago Ave","Open","· Closes 4:30 PM","(773) 294-7080","https://autorepairbody.com/","","Website","","Directions","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The quality of work exceeded my expectations - my car looks brand new.""","","",""
"https://www.google.com/maps/place/National+Body+Works/data=!4m7!3m6!1s0x880fcdada56e12c9:0xf4514641ac738c0e!8m2!3d41.9450849!4d-87.7339351!16s%2Fg%2F1tg5_728!19sChIJyRJupa3ND4gRDoxzrEFGUfQ?authuser=0&hl=en&rclk=1","National Body Works","4.9","(92)","Auto body shop","·","·","3550 N Milwaukee Ave","Open","· Closes 6 PM","(773) 569-3289","https://www.nationalbodyworks.com/","","Website","","Directions","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Quick turn around, beautiful car, open communication, and reasonable prices.""","","",""
"https://www.google.com/maps/place/Western+Body+Shop+inc/data=!4m7!3m6!1s0x880fd29aaede9c3b:0x9bc45b3dc8c3ef2!8m2!3d41.92576!4d-87.68806!16s%2Fg%2F1tjfhfwm!19sChIJO5zerprSD4gR8j6M3LNFvAk?authuser=0&hl=en&rclk=1","Western Body Shop inc","4.6","(113)","Auto body shop","·","2426 N Western Ave","","Open","· Closes 6 PM","(773) 235-9735","https://chicagoautobodycenter.org/","","Website","","Directions","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""They make your vehicle look brand new, no matter how damaged it is.""","","",""
