name,phone,address,rating,review_count,business_type,hours
And Services,8132952013,5010 North Cortez Avenue,4.6,10285.0,HVAC contractor,Open 24 hours
Momentum AC & Electric,8137765320,3113 N Armenia Ave,4.9,1242.0,HVAC contractor,Open 24 hours
Air Masters of Tampa Bay,8775030588,4830 N Florida Ave,4.7,1547.0,HVAC contractor,Open 24 hours
ACS Home Services- Tampa Air Conditioning Repair,8137031042,1712 E Seward St,4.7,2748.0,HVAC contractor,Open 24 hours
The Comfort Authority,8134614819,9608 N Nebraska Ave,4.9,1732.0,Air conditioning contractor,Open 24 hours
REM Air Conditioning of Tampa,8132485877,3212 N 40th St #602,4.8,504.0,HVAC contractor,Open 24 hours
3H AC,8139794208,930 E 124th Ave,4.9,639.0,HVAC contractor,Open
And Services,8134454818,5010 N Cortez Ave,4.6,10288.0,HVAC contractor,Open 24 hours
Hometown Heating and Air,8137736500,3104 N Armenia Ave,4.7,372.0,HVAC contractor,Open
One Hour Air Conditioning & Heating,8132910655,5808 N 56th St,4.6,4175.0,HVAC contractor,Open 24 hours
Action Air Conditioning - AC Repair Tampa,8139356644,8926 N Armenia Ave,4.6,615.0,HVAC contractor,Open 24 hours
Air 24/7,8134918516,3826 S 78th St,4.9,568.0,HVAC contractor,Open 24 hours
Caldeco Air Conditioning & Heating,8132542211,1709 N Howard Ave,4.8,1098.0,HVAC contractor,Open
Comfort Pro LLC,8133485000,1100 N 50th St Unit 4C,4.6,1674.0,HVAC contractor,Open
Super Heat And Air,8133021618,6101 Johns Rd #1,4.7,3867.0,HVAC contractor,Open 24 hours
"INDEPENDENT AIR CONDITIONING, INC.",8134212247,3424 E 7th Ave,4.9,336.0,HVAC contractor,Open
Northside Services,8139758815,10701 N Nebraska Ave,4.9,229.0,HVAC contractor,Open
"Kenny's Air Conditioning & Heating Services, Inc.",8138753669,4418 N Cortez Ave,4.8,283.0,HVAC contractor,Open 24 hours
Tampa AC Services Inc,8137977331,3612 Palm Crossing Dr,5.0,62.0,HVAC contractor,Open 24 hours
